nprob     n evals Best Methods
    1     1     8 Best: rbp, muller
    2     1    12 Best: modab, chandrupatla
    3     1     8 Best: brent, brentq
    4     1    10 Best: chandrupatla
    5     1    10 Best: chandrupatla
    6     1    10 Best: modab
    7     1    11 Best: modab, muller
    8     1    11 Best: modab
    9     1    11 Best: modab
   10     1    11 Best: brentq
   11     1    11 Best: modab, brent, brentq, brenth, muller
   12    40     4 Best: ridders
   12   100     4 Best: ridders
   12   200     4 Best: ridders
   13     1    11 Best: itp
   14     1     7 Best: muller
   15     4    12 Best: chandrupatla
   15     6    13 Best: modab, chandrupatla
   15     8    13 Best: chandrupatla
   15    10    13 Best: chandrupatla
   15    12    14 Best: chandrupatla
   16     4    12 Best: chandrupatla
   16     6    12 Best: ridders, chandrupatla
   16     8    13 Best: modab, chandrupatla
   16    10    13 Best: chandrupatla
   16    12    13 Best: chandrupatla
   17     8    12 Best: ridders, chandrupatla
   17    10    12 Best: chandrupatla
   17    12    13 Best: chandrupatla
   17    14    14 Best: modab, chandrupatla
   18     1     8 Best: rbp, pegasus, muller, chandrupatla
   19     1     6 Best: brenth
   19     2     8 Best: toms748, anderson_bjorck, brenth, muller, chandrupatla
   19     3     9 Best: brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   19     4    10 Best: modab, pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   19     5    10 Best: modab, pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   19    10    11 Best: modab, pegasus, toms748, brent, brentq, brenth, muller, chandrupatla
   19    20    11 Best: illinois, pegasus, toms748
   19    40    13 Best: modab, pegasus, toms748, brent, brentq, brenth, muller, chandrupatla
   19    60    13 Best: pegasus, toms748, brenth, muller
   19    80    13 Best: pegasus, toms748
   19   100    13 Best: pegasus, toms748
   20     5     4 Best: bdqrf, rbp
   20    10     6 Best: rbp, muller
   20    20     6 Best: bdqrf, rbp
   21     2     3 Best: regula_falsi, illinois, pegasus, toms748, brent, brentq, anderson_bjorck, brenth
   21     5     8 Best: brent, brentq, chandrupatla
   21    10    10 Best: modab, toms748, brent, brentq, anderson_bjorck, brenth, chandrupatla
   21    15    10 Best: chandrupatla
   21    20    11 Best: toms748
   22     1     8 Best: toms748, anderson_bjorck, brenth
   22     2     9 Best: brenth
   22     4     8 Best: brent, brentq, brenth, muller, chandrupatla
   22     5     7 Best: brent, brentq, brenth
   22     8     7 Best: brent, brentq, brenth
