no,n,interval,root,bisect_fallback,bisection,regula_falsi,abkk,barycentric,zhang,ridders,illinois,blendtf,itp,bdqrf,rbp,pegasus,toms748,brent,brentq,anderson_bjorck,brenth,muller,modab,chandrupatla
1,,"[pi/2, pi]",1.895494267033981E+00,,45,34,20,27,16,14,10,26,10,14,8,9,9,9,9,9,9,8,9,9
2,,"[1 + 1e-9, 4 - 1e-9]",3.022915347273057E+00,regula_falsi,46,1046,84,60,19,18,101,32,17,22,14,102,16,15,15,52,15,52,12,12
3,,"[4 + 1e-9, 9 - 1e-9]",6.683753560808078E+00,regula_falsi,45,1045,22,26,14,16,99,26,10,16,12,100,9,8,8,52,11,11,11,13
4,,"[9 + 1e-9, 16 - 1e-9]",1.123870165500221E+01,regula_falsi,45,1045,20,25,14,16,102,29,12,16,12,105,15,15,15,56,15,12,11,10
5,,"[16 + 1e-9, 25 - 1e-9]",1.967600008062341E+01,regula_falsi,45,1045,22,40,14,16,104,26,12,16,14,104,14,13,13,56,13,11,11,10
6,,"[25 + 1e-9, 36 - 1e-9]",2.982822732650476E+01,regula_falsi,44,1044,22,28,17,16,105,23,11,20,14,104,12,12,12,57,13,11,10,11
7,,"[36 + 1e-9, 49 - 1e-9]",4.190611619528941E+01,regula_falsi,44,1044,22,29,14,20,105,23,12,16,12,105,13,12,12,58,12,11,12,13
8,,"[49 + 1e-9, 64 - 1e-9]",5.595359580014309E+01,regula_falsi;rbp,44,1044,22,29,22,16,105,26,13,16,2044,107,13,12,12,60,12,49,12,13
9,,"[64 + 1e-9, 81 - 1e-9]",7.198566558658780E+01,regula_falsi;rbp,44,1044,84,29,18,18,106,80,21,28,2044,106,13,12,12,62,12,12,11,13
10,,"[81 + 1e-9, 100 - 1e-9]",9.000886853916667E+01,regula_falsi;rbp,43,1043,84,64,16,24,106,80,16,16,2043,106,13,12,11,62,12,12,11,13
11,,"[100 + 1e-9, 121 - 1e-9]",1.100265327483302E+02,regula_falsi,43,1043,20,34,17,14,106,23,13,14,12,106,12,11,11,61,11,11,11,13
12,40,"[-9,31]",0.000000000000000E+00,regula_falsi,58,1058,30,56,18,4,50,38,18,20,20,176,22,16,16,132,18,14,14,14
12,100,"[-9,31]",0.000000000000000E+00,regula_falsi,58,1058,30,56,20,4,50,38,18,20,20,176,22,16,16,132,18,14,14,14
12,200,"[-9,31]",0.000000000000000E+00,regula_falsi,58,1058,30,56,20,4,51,38,18,20,20,176,22,16,16,132,18,14,15,14
13,,"[-3,2]",-2.103803402735537E+00,,47,46,18,40,18,17,15,35,11,18,36,13,12,12,12,13,12,52,12,12
14,,"[0,2]",3.544631043750253E-01,,48,16,18,28,14,14,10,20,10,12,8,8,8,8,8,8,8,7,8,8
15,4,"[0,5]",6.687403049764220E-01,regula_falsi,49,1049,20,25,16,18,19,29,49,16,18,17,15,14,14,106,14,14,13,12
15,6,"[0,5]",7.647244913317300E-01,regula_falsi;anderson_bjorck,48,1048,28,34,21,14,26,32,49,18,20,25,18,16,16,1048,16,18,13,13
15,8,"[0,5]",8.177654339579425E-01,regula_falsi;anderson_bjorck,48,1048,26,27,19,14,32,35,49,20,24,31,18,17,17,1048,17,21,14,13
15,10,"[0,5]",8.513399225207846E-01,regula_falsi;anderson_bjorck,48,1048,28,33,19,16,37,35,49,20,22,36,17,16,16,1048,17,24,14,13
15,12,"[0,5]",8.744852722211678E-01,regula_falsi;anderson_bjorck,48,1048,28,33,21,16,42,35,49,20,18,40,17,17,17,1048,17,26,15,14
16,4,"[0,5]",1.000000000000000E+00,regula_falsi,48,1048,24,34,18,16,19,32,13,14,16,17,13,15,15,53,14,13,13,12
16,6,"[0,5]",1.000000000000000E+00,regula_falsi,48,1048,24,33,17,12,24,32,14,16,16,22,13,15,15,906,15,16,13,12
16,8,"[0,5]",1.000000000000000E+00,regula_falsi;anderson_bjorck,48,1048,22,48,17,16,29,32,20,18,18,29,15,15,15,1048,14,19,13,13
16,10,"[0,5]",1.000000000000000E+00,regula_falsi;anderson_bjorck,48,1048,18,44,19,16,36,32,25,18,18,33,18,16,16,1048,15,22,14,13
16,12,"[0,5]",1.000000000000000E+00,regula_falsi;anderson_bjorck,48,1048,28,40,23,16,40,32,21,20,20,39,18,17,17,1048,15,24,14,13
17,8,"[-0.95,4.05]",1.000000000000000E+00,regula_falsi,48,1048,28,59,23,12,33,32,38,18,16,30,22,15,15,37,14,15,14,12
17,10,"[-0.95,4.05]",1.000000000000000E+00,regula_falsi,48,1048,28,44,22,16,39,35,38,22,18,34,22,16,16,49,15,16,14,12
17,12,"[-0.95,4.05]",1.000000000000000E+00,regula_falsi,48,1048,28,43,22,16,44,35,38,20,20,37,22,16,16,72,15,17,14,13
17,14,"[-0.95,4.05]",1.000000000000000E+00,regula_falsi,48,1048,28,45,24,16,49,35,38,20,20,40,24,17,17,129,16,19,14,14
18,,"[0,1.5]",5.235987755982988E-01,,47,17,18,25,14,14,11,23,10,12,8,8,9,9,9,9,9,8,9,8
19,1,"[0,1]",4.224777096412367E-01,,47,20,18,17,12,10,9,23,9,10,8,8,7,7,7,7,6,7,9,7
19,2,"[0,1]",3.066994104832037E-01,,47,28,20,29,14,10,11,26,11,12,10,9,8,9,9,8,8,8,9,8
19,3,"[0,1]",2.237054576546630E-01,,48,32,20,21,14,10,10,23,11,12,10,10,10,9,9,9,9,9,10,9
19,4,"[0,1]",1.717191475195084E-01,,48,33,18,24,15,12,12,29,13,12,11,10,10,10,10,10,10,10,10,10
19,5,"[0,1]",1.382571550568241E-01,,49,33,16,20,15,12,12,29,13,12,12,10,10,10,10,10,10,10,10,10
19,10,"[0,1]",6.931408868702348E-02,,50,34,22,25,16,12,13,32,14,14,12,11,11,11,11,12,11,11,11,11
19,20,"[0,1]",3.465735902085385E-02,,51,35,24,24,17,12,11,32,15,14,14,11,11,12,12,13,12,12,12,12
19,40,"[0,1]",1.732867951399863E-02,,52,36,18,31,18,14,14,35,16,14,14,13,13,13,13,15,13,13,13,13
19,60,"[0,1]",1.155245300933242E-02,,52,37,24,28,19,14,14,35,23,16,16,13,13,14,14,16,13,13,15,14
19,80,"[0,1]",8.664339756999316E-03,,52,37,26,29,19,14,15,35,17,16,16,13,13,14,14,15,14,14,14,14
19,100,"[0,1]",6.931471805599453E-03,,52,38,28,29,18,14,15,35,16,16,16,13,13,14,14,16,14,14,15,14
20,5,"[0,1]",3.840255184062190E-02,,50,15,14,17,18,16,9,23,10,4,4,9,8,9,9,8,9,5,9,10
20,10,"[0,1]",9.900009998000499E-03,,52,12,12,21,17,16,9,20,10,8,6,9,7,8,8,8,8,6,9,9
20,20,"[0,1]",2.493750039062012E-03,,52,10,10,27,17,18,8,20,9,6,6,9,7,8,8,7,8,9,9,9
21,2,"[0,1.01]",5.000000000000000E-01,,47,3,4,5,4,4,3,5,8,4,4,3,3,3,3,3,3,4,4,4
21,5,"[0,1.01]",3.459548158482420E-01,,47,44,20,26,14,12,9,23,13,12,12,9,10,8,8,9,9,10,9,8
21,10,"[0,1.01]",2.451223337533072E-01,,48,91,20,23,16,14,11,29,16,14,14,11,10,10,10,10,10,12,10,10
21,15,"[0,1.01]",1.955476235365656E-01,,48,140,24,23,14,14,13,26,47,14,18,12,11,12,12,11,12,14,11,10
21,20,"[0,1.01]",1.649209572764410E-01,,48,191,24,31,14,14,12,32,47,16,20,12,11,12,12,12,12,13,12,12
22,1,"[0,1]",2.755080409994844E-01,,48,32,20,25,16,10,11,26,11,12,10,9,8,9,9,8,8,9,9,9
22,2,"[0,1]",1.377540204997422E-01,,49,33,18,20,14,10,12,29,13,12,12,10,10,10,10,10,9,10,10,10
22,4,"[0,1]",1.030528377815644E-02,,52,12,14,22,12,12,10,23,10,12,12,9,10,8,8,9,8,8,9,8
22,5,"[0,1]",3.617108178904063E-03,,52,10,12,33,10,10,9,20,9,10,10,8,10,7,7,8,7,8,8,9
22,8,"[0,1]",4.108729184963954E-04,,52,8,10,36,12,12,8,17,8,12,12,8,9,7,7,8,7,10,8,8
22,15,"[0,1]",2.598957589290763E-05,,52,7,10,30,12,12,8,17,8,12,12,7,8,6,6,7,6,9,7,7
22,20,"[0,1]",7.668595122185337E-06,,52,7,8,27,12,12,8,14,8,12,12,7,8,6,6,7,6,8,7,7
23,1,"[0,1]",4.010581375415471E-01,,47,22,18,17,12,10,10,20,8,10,9,8,7,8,8,8,7,8,9,7
23,5,"[0,1]",5.161535187579336E-01,,47,88,20,26,14,12,10,26,9,12,12,10,8,8,8,8,8,9,10,10
23,10,"[0,1]",5.395222269084159E-01,,47,956,22,27,16,14,14,23,10,16,18,14,10,8,8,9,11,14,11,11
23,15,"[0,1]",5.481822943406552E-01,regula_falsi,43,1043,22,32,16,14,18,26,11,16,38,17,11,11,11,9,11,28,12,12
23,20,"[0,1]",5.527046666784878E-01,regula_falsi,40,1040,22,29,16,14,22,23,11,16,112,21,12,11,11,10,13,81,12,12
24,2,"[0.01,1]",5.000000000000000E-01,regula_falsi,47,1047,22,29,8,12,14,26,16,14,12,14,14,4,4,5,5,9,8,9
24,5,"[0.01,1]",2.000000000000000E-01,regula_falsi,48,1048,22,34,15,16,16,26,36,16,16,15,17,12,12,5,6,11,9,10
24,15,"[0.01,1]",6.666666666666667E-02,,50,228,18,31,15,16,16,35,47,18,18,14,18,13,13,5,7,13,11,13
24,20,"[0.01,1]",5.000000000000000E-02,,50,170,22,34,17,16,15,32,34,18,18,12,18,14,14,5,8,13,10,13
25,2,"[1,100]",2.000000000000000E+00,,51,21,20,11,4,12,11,26,15,12,10,9,5,6,6,9,9,10,9,5
25,3,"[1,100]",3.000000000000000E+00,,51,30,22,13,19,14,12,32,16,14,12,9,5,9,9,9,10,11,10,11
25,4,"[1,100]",4.000000000000000E+00,,50,37,22,20,18,14,12,29,14,14,12,10,10,10,10,10,10,12,11,11
25,5,"[1,100]",5.000000000000000E+00,,50,43,22,37,18,14,12,26,15,14,14,10,10,11,11,10,10,12,11,11
25,6,"[1,100]",6.000000000000000E+00,,50,47,22,29,18,14,12,29,15,14,14,10,10,11,11,10,11,12,11,11
25,7,"[1,100]",7.000000000000000E+00,,50,51,22,27,17,14,12,32,14,14,14,10,10,11,11,10,11,11,11,11
25,9,"[1,100]",9.000000000000000E+00,,49,58,22,37,17,14,12,29,15,14,14,10,11,11,11,10,10,11,11,11
25,11,"[1,100]",1.100000000000000E+01,,49,64,22,41,17,14,12,29,15,14,14,10,11,11,11,10,10,11,11,11
25,13,"[1,100]",1.300000000000000E+01,,49,68,12,37,15,12,12,26,15,14,14,10,11,10,10,10,10,11,12,11
25,15,"[1,100]",1.500000000000000E+01,,48,72,16,31,15,12,12,29,14,12,12,10,11,10,10,10,10,10,11,10
25,17,"[1,100]",1.700000000000000E+01,,48,76,14,25,15,12,12,29,15,14,14,10,11,10,10,10,10,11,11,10
25,19,"[1,100]",1.900000000000000E+01,,48,79,12,25,16,14,12,29,15,14,14,10,11,10,10,10,10,10,12,10
25,21,"[1,100]",2.100000000000000E+01,,48,81,16,25,16,14,10,26,14,14,14,10,11,11,11,10,10,10,11,10
25,23,"[1,100]",2.300000000000000E+01,,48,84,18,29,14,14,10,7,14,14,14,10,11,10,10,10,10,10,11,10
25,25,"[1,100]",2.500000000000000E+01,,48,86,18,22,14,12,10,26,14,14,14,10,11,10,10,10,10,10,11,10
25,27,"[1,100]",2.700000000000000E+01,,48,88,18,22,14,12,11,26,14,14,14,9,11,10,10,10,10,9,10,9
25,29,"[1,100]",2.900000000000000E+01,,47,90,18,22,14,12,11,26,14,14,14,10,11,10,10,10,9,9,10,9
25,31,"[1,100]",3.100000000000000E+01,,46,92,20,22,14,12,11,26,15,14,14,10,11,10,10,10,9,10,10,9
25,33,"[1,100]",3.300000000000000E+01,,42,94,20,22,14,12,11,26,15,14,14,10,11,9,9,9,9,10,10,9
26,,"[-1,4]",0.000000000000000E+00,regula_falsi,6,1006,7,3,9,4,44,6,5,4,4,63,15,12,12,46,12,4,9,8
27,,"[-1.1234,4.4567]",0.000000000000000E+00,regula_falsi,6,1006,9,12,9,4,44,6,5,4,4,63,19,15,15,45,15,4,10,8
28,1,"[-10000,pi/2]",6.238065189616123E-01,,60,21,26,169,25,24,16,41,22,22,22,14,19,21,21,14,21,18,21,21
28,2,"[-10000,pi/2]",6.238065189616123E-01,,60,21,26,169,25,24,16,41,22,22,19,15,19,21,21,14,21,18,21,21
29,20,"[-10000,1e-4]",5.905130559421971E-05,,66,43,34,327,37,30,21,74,40,32,32,20,30,35,35,19,35,28,35,34
29,40,"[-10000,1e-4]",3.024579067021010E-05,,66,44,32,330,40,32,22,77,41,34,34,21,32,35,35,21,35,29,36,35
29,100,"[-10000,1e-4]",1.227799423246152E-05,,66,41,30,334,42,32,22,74,40,36,36,21,31,38,38,21,38,31,38,37
30,,"[0,1]",7.297276562269663E-01,,46,23,18,25,14,14,9,23,9,14,8,7,8,8,8,8,8,8,9,8
