Results
Func;                 bisect;                  brent;                 ridder;                alefeld;                    ITP;                    A42;                  modAB
 f01;     0.9999999999999982;                    1.0;                    1.0;                    1.0;     0.9999999999999999;                    1.0;                    1.0; 
 f02;     0.3994222917109664;    0.39942229171096816;    0.39942229171096627;    0.39942229171096816;      0.399422291710968;    0.39942229171096816;     0.3994222917109682; 
 f03;     0.8041330975036638;     0.8041330975036644;     0.8041330975036638;     0.8041330975036644;      0.804133097503664;     0.8041330975036644;     0.8041330975036644; 
 f04;    -1.0000000000000002;                   -1.0;                   -1.0;                   -1.0;                   -1.0;                   -1.0;                   -1.0; 
 f05;      2.094551481542327;      2.094551481542327;     2.0945514815423265;     2.0945514815423265;     2.0945514815423265;     2.0945514815423265;      2.094551481542327; 
 f06;    0.13825715505682332;    0.13825715505682404;    0.13825715505682407;    0.13825715505682407;    0.13825715505682407;    0.13825715505682407;    0.13825715505682407; 
 f07;    0.06931408868702256;    0.06931408868702348;    0.06931408868702287;    0.06931408868702346;    0.06931408868702346;    0.06931408868702348;    0.06931408868702346; 
 f08;   0.034657359020853616;    0.03465735902085384;    0.03465735902085385;   0.034657359020853845;    0.03465735902085386;   0.034657359020853845;   0.034657359020853845; 
 f09;    0.10961179679779359;      0.109611796797793;    0.10961179679779243;    0.10961179679779243;    0.10961179679779243;    0.10961179679779243;    0.10961179679779244; 
 f10;    0.05247860343680966;    0.05247860343681028;   0.052478603436810184;   0.052478603436810184;    0.05247860343681014;   0.052478603436810184;   0.052478603436810184; 
 f11;   0.025623747619988105;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821; 
 f12;     0.3459548158482421;      0.345954815848242;      0.345954815848242;      0.345954815848242;    0.34595481584824056;      0.345954815848242;    0.34595481584824206; 
 f13;    0.24512233375331216;    0.24512233375330725;     0.2451223337533072;    0.24512233375330722;    0.24512233375330084;    0.24512233375330725;    0.24512233375330722; 
 f14;     0.1649209572764402;    0.16492095727644096;    0.16492095727644096;      0.164920957276441;     0.1649209572764505;     0.1649209572764409;    0.16492095727644093; 
 f15;  0.0036171081789040708;  0.0036171081789040643;   0.003617108178904063;   0.003617108178904064;  0.0036171081789040634;  0.0036171081789040643;   0.003617108178904064; 
 f16;  0.0001514713347838929; 0.00015147133478389134;  0.0001514713347838914;  0.0001514713347838914; 0.00015147133478389136; 0.00015147133478389212; 0.00015147133478389136; 
 f17;   7.668595122185264e-6;   7.668595122185337e-6;   7.668595122185337e-6;   7.668595122185339e-6;   7.668595122185337e-6;   7.668595122185335e-6;   7.668595122185337e-6; 
 f18;     0.5161535187579257;     0.5161535187579336;     0.5161535187579223;     0.5161535187579336;     0.5161535187579336;     0.5161535187579336;     0.5161535187579336; 
 f19;     0.5395222269084319;     0.5395222269084163;     0.5395222269084159;     0.5395222269084159;     0.5395222269084158;     0.5395222269084159;     0.5395222269084159; 
 f20;     0.5527046666872479;      0.552704666678488;     0.5527046666784865;     0.5527046666784878;     0.5527046666920545;     0.5527046666784878;     0.5527046666784878; 
 f21;    0.40999201798913726;    0.40999201798913715;    0.40999201798913715;     0.4099920179891371;    0.40999201798913715;    0.40999201798913715;    0.40999201798913715; 
 f22;     0.4525091455776413;    0.45250914557764116;    0.45250914557764127;     0.4525091455776412;    0.45250914557764216;     0.4525091455776412;     0.4525091455776412; 
 f23;     0.4756268485960545;     0.4756268485960624;     0.4756268485960624;     0.4756268485960624;     0.4756268485960623;     0.4756268485960624;     0.4756268485960624; 
 f24;      2.999993896484374;      3.000007285238641;     2.9999957664168058;     2.9999973005278626;      2.999999800032625;     3.0000041650516813;     2.9999999999999982; 
 f25;      3.999609374999999;     3.9986872228521193;      4.001107560269884;      4.000447182595154;       4.00072557961356;       4.00034560724783;     3.9999999999999982; 
 f26;      2.474578857421875;      2.474557731970802;     2.4745833859513118;      2.474585208847838;      2.474578248078033;      2.474556631046798;      2.474576787369834; 
 f27;          1.88916015625;     1.8887379408153333;     1.8890992300973282;      1.889266221894046;       1.88922119140625;     1.8886332092927203;          1.88916015625; 
 f28;       7.14300537109375;      7.142985040372764;      7.142989795027044;      7.142995446198486;      7.143005046671116;      7.143010059173318;      7.142999999999994; 
 f29;     2.9984374999999996;       3.00006660685497;     2.9998382550016585;      3.000765279880693;       3.00000028456571;      2.999783548995127;     3.0003906249999996; 
 f30;      4.267168304542125;      4.267168304542125;      4.267168304542124;      4.267168304542125;      4.267168304542125;      4.267168304542125;      4.267168304542125; 
 f31;     0.3183098861837906;    0.31830988618379064;     0.3183098861837907;     0.3183098861837907;     0.3183098861837907;     0.3183098861837907;     0.3183098861837907; 
 f32;     1.3258176636680328;     1.3258176636680323;     1.3258176636680323;     1.3258176636680326;     1.3258176636680328;     1.3258176636680326;     1.3258176636680326; 
 f33;     0.8654740331016114;     0.8654740331016144;     0.8654740331016144;     0.8654740331016144;     0.8654740331016144;     0.8654740331016145;     0.8654740331016145; 
 f34;     0.7390851332151583;     0.7390851332151607;     0.7390851332151609;     0.7390851332151607;     0.7390851332151607;     0.7390851332151607;     0.7390851332151607; 
 f35;     0.6566666666666664;     0.6566666666666666;     0.6566666666666667;     0.6566666666666666;     0.6566666666666667;     0.6566666666666666;     0.6566666666666667; 
 f36;     0.6666666666666666;     0.6666666666666666;     0.6666666666666666;     0.6666666666666666;     0.6666666666666666;     0.6666666666666666;     0.6666666666666667; 
 f37;     0.7777777777794714;     0.7777777777777778;     0.7777777777777778;     0.7777777777778205;     0.7777777777777138;      0.777777777777772;     0.7777777777777778; 
 f38;    0.33333333333333337;     0.3333333333333333;    0.33333333333333337;    0.33333333333333337;    0.33333333333333337;    0.33333333333333337;     0.3333333333333375; 
 f39;     0.3333333333333333;     0.3333333333333333;       0.33333333333332;     0.3333333333333333;     0.3333333333333333;     0.3333333333333333;     0.3333333333333375; 
 f40;                    0.0;                    0.0;     0.6666666668400827;                    0.0;     0.6666666666666665;                    0.0;     0.6666666666666696; 
 f41;    0.13825715505682565;    0.13825715505682412;     0.1382571550568241;    0.13825715505682407;    0.13825715505682404;     0.1382571550568241;     0.1382571550568241; 
 f42;     1.0000000000000002;     2.9999999999999996;                    1.0;                    3.0;     0.9999999999999988;                    3.0;                    1.0; 
 f43;                    0.0;                    0.0;   1.567701110322143e-5;                    0.0; -1.4966955245096503e-5;                    0.0;  5.329070518200751e-15; 
 f44;                    0.0;                    0.0; -0.0007272034980517316;                    0.0; -0.00020140118966387177;                    0.0;  5.329070518200751e-15; 
 f45;                    0.0;                    0.0;  -0.004887817232201902;                    0.0; -0.0006626421697301932;                    0.0;  5.329070518200751e-15; 
 f46;    0.10162439229354953;    0.10162439229354954;    0.10162439229354954;    0.10162439229354953;    0.10162439229354953;    0.10162439229354953;    0.10162439229354954; 
 f47;   0.007732523200612807;   0.007732523200612796;   0.007732523200612798;   0.007732523200612797;   0.007732523200612795;     0.0077325232006128;   0.007732523200612798; 
 f48;  0.0012763049457355637;   0.001276304945735565;  0.0012763049457355645;  0.0012763049457355645;   0.001276304945735564;  0.0012763049457355643;  0.0012763049457355643; 
 f49;     -0.682327803828017;    -0.6823278038280194;     -0.682327803828018;    -0.6823278038280193;    -0.6823278038280193;    -0.6823278038280193;    -0.6823278038280193; 
 f50;     -2.103803402735537;    -2.1038034027355366;    -2.1038034027355366;    -2.1038034027355366;    -2.1038034027355366;    -2.1038034027355366;     -2.103803402735536; 
 f51;     0.9999999999999982;     1.0000000000000002;                    1.0;                    1.0;     0.9999999999999998;                    1.0;                    1.0; 
 f52;      1.000040835564727;     1.0000408355647268;      1.000040835564727;     1.0000408355647268;     1.0000408355647274;     1.0000408355647268;      1.000040835564727; 
 f53;     1.6968123868097535;     1.6968123868097515;     1.6968123868097513;     1.6968123868097513;     1.6968123868097518;     1.6968123868097515;     1.6968123868097515; 
