mpmath Root-Finding Benchmark
====================================================================================================
Precision: 30 decimal places
Number of test problems: 100

Running bisect... done (91/100 passed, 6935 evals, 0.245s)
Running illinois... done (90/100 passed, 3627 evals, 0.156s)
Running pegasus... done (90/100 passed, 3910 evals, 0.178s)
Running anderson... done (83/100 passed, 6146 evals, 0.291s)
Running ridder... done (91/100 passed, 2630 evals, 0.115s)
Running modAB... done (91/100 passed, 2555 evals, 0.126s)

====================================================================================================
SUMMARY: Function evaluations by solver
====================================================================================================
Func |     bisect |   illinois |    pegasus |   anderson |     ridder |      modAB |
----------------------------------------------------------------------------------------------------
 f01 |         4  |        13  |        11  |        11  |         5  |         4  |
 f02 |        70  |        15  |        13  |        13  |        17  |        14  |
 f03 |        70  |        19  |        16  |        24  |        15  |        14  |
 f04 |        71  |        14  |        12  |        14  |        15  |        12  |
 f05 |        69  |        11  |        11  |         9  |        17  |        12  |
 f06 |        70  |        14  |        12  |        12  |        13  |        13  |
 f07 |        70  |        14  |        13  |        14  |        13  |        14  |
 f08 |        70  |        14  |        12  |        15  |        15  |        14  |
 f09 |        70  |        12  |        11  |        10  |        19  |        12  |
 f10 |        70  |        12  |        11  |        10  |        19  |        13  |
 f11 |        70  |        12  |        11  |        10  |        19  |        11  |
 f12 |        70  |        11  |        11  |        10  |        15  |        13  |
 f13 |        70  |        13  |        12  |        12  |        15  |        16  |
 f14 |        70  |        15  |        14  |        13  |        17  |        14  |
 f15 |        70  |        12  |        10  |        10  |        13  |        11  |
 f16 |        70W |        10  |         9  |         9  |        13  |        10  |
 f17 |        70W |         9  |         9  |         8  |        13  |        10  |
 f18 |        70  |        12  |        12  |        10  |        13  |        14  |
 f19 |        70  |        16  |        15  |        11  |        15  |        15  |
 f20 |        70  |        25  |        23  |        11  |        17  |        15  |
 f21 |        70  |        13  |        11  |        11  |        15  |        12  |
 f22 |        70  |        13  |        11  |        11  |        15  |        12  |
 f23 |        70  |        13  |        11  |        11  |        13  |        11  |
 f24 |        69  |        52  |        80  |        60  |        43  |        69  |
 f25 |        69  |        58  |        84  |        59  |        25  |        69  |
 f26 |        70  |        49  |        75  |        56  |        39  |        70  |
 f27 |        29  |        53  |        77  |        57  |        25  |        29  |
 f28 |        53  |        46  |        70  |        53  |        35  |        53  |
 f29 |        27  |        69  |        95  |        59  |        25  |        27  |
 f30 |        68W |        55  |        53  |        59  |        17  |        16  |
 f31 |        72  |        17  |        16  |         5  |        17  |        12  |
 f32 |        70  |        16  |        14  |        13  |        17  |        16  |
 f33 |        72  |        17  |        15  |        17  |        19  |        14  |
 f34 |        74  |        13  |        11  |        11  |        17  |        13  |
 f35 |        74  |        17  |        15  |        15  |        23  |        18  |
 f36 |        74F |        70F |        70F |        78F |        75F |        75F |
 f37 |        74  |        25  |        36  |        28  |        27  |        19  |
 f38 |        74F |        86F |        86F |        86F |        79F |        74F |
 f39 |        74F |       252F |       252F |       252F |       133F |        74F |
 f40 |        74F |       146F |       153F |       146F |        99F |        74F |
 f41 |        73  |        17  |        14  |        13  |        15  |        16  |
 f42 |        72  |        13  |        11  |        11  |        21  |        14  |
 f43 |        71  |        48  |        74  |        57  |        41  |        71  |
 f44 |        71  |        57  |        84  |        62  |        19  |        71  |
 f45 |        71  |        62  |        89  |        65  |        17  |        71  |
 f46 |        69W |        26  |        27  |        23  |        17  |        16  |
 f47 |        69W |        16  |        16  |        15  |        19  |        19  |
 f48 |        69W |        17  |        14  |        14  |        19  |        15  |
 f49 |        71  |        13  |        11  |        11  |        13  |        13  |
 f50 |        71  |        17  |        14  |        14  |        17  |        13  |
 f51 |        72  |        12  |        11  |        11  |        13  |        12  |
 f52 |        73  |        41  |        39  |        21  |        17  |        18  |
 f53 |        71  |        14  |        12  |        13  |        19  |        14  |
 f54 |        70  |        12  |         9  |         9  |        13  |        11  |
 f55 |        71  |        13  |        12  |        11  |         5  |        13  |
 f56 |        70  |        14  |        12  |        12  |        17  |        13  |
 f57 |        68  |        24  |        21  |        32  |        15  |        14  |
 f58 |        72  |        13  |        11  |        10  |        13  |        12  |
 f59 |        71  |        19  |        15  |        16  |        15  |        13  |
 f60 |        71  |        12  |        10  |        10  |        17  |        12  |
 f61 |        71  |        15  |        13  |        14  |        19  |        13  |
 f62 |        70  |        13  |        11  |        10  |        17  |        12  |
 f63 |        71  |        13  |        12  |        11  |        13  |        14  |
 f64 |        71  |        10  |        10  |         9  |        13  |        10  |
 f65 |        71  |        11  |         9  |         9  |        17  |        11  |
 f66 |        71  |        14  |        12  |        12  |        19  |        15  |
 f67 |        71  |        15  |        13  |        13  |        15  |        14  |
 f68 |        71  |        13  |        10  |         9  |        11  |        11  |
 f69 |        71  |        14  |        12  |        11  |        13  |        13  |
 f70 |        71  |        16  |        13  |        13  |        17  |        14  |
 f71 |        71  |        16  |        17  |         5  |        17  |         9  |
 f72 |        71  |        86  |       116  |        62  |        75  |        71  |
 f73 |        71  |        88  |       140  |       107  |        75  |        71  |
 f74 |        71  |        46  |        73  |        56  |        41  |        71  |
